date,time,step,heartrate,food
2018-08-20,19:24:00,0,80,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:25:00,0,63,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:26:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:27:00,0,68,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:31:00,0,77,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:32:00,0,81,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:33:00,0,82,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:34:00,0,73,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:35:00,0,82,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:36:00,0,77,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:37:00,0,86,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:38:00,0,74,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:39:00,0,75,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:40:00,0,78,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:41:00,0,79,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:42:00,0,74,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:43:00,0,68,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:44:00,0,64,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:45:00,0,72,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:46:00,0,66,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:47:00,0,61,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:48:00,0,59,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:49:00,0,68,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:50:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:51:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:52:00,0,71,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:53:00,0,66,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:54:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:55:00,0,65,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:56:00,0,64,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:57:00,0,63,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:58:00,0,63,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:59:00,0,62,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:24:00,0,80,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:25:00,0,63,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:26:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:27:00,0,68,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:31:00,0,77,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:32:00,0,81,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:33:00,0,82,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:34:00,0,73,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:35:00,0,82,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:36:00,0,77,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:37:00,0,86,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:38:00,0,74,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:39:00,0,75,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:40:00,0,78,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:41:00,0,79,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:42:00,0,74,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:43:00,0,68,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:44:00,0,64,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:45:00,0,72,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:46:00,0,66,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:47:00,0,61,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:48:00,0,59,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:49:00,0,68,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:50:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:51:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:52:00,0,71,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:53:00,0,66,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:54:00,0,67,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:55:00,0,65,"Kongbao Chicken,Seasame Chicken"
2018-08-20,19:56:00,0,64,"Kongbao Chicken,Seasame Chicken"
